date,time,lastPrice,change,pChange,previousClose,open,close,vwap,lowerCP,upperCP,pPriceBand,basePrice,intraDayHighLow,weekHighLow
16-11-2021     8:29,8:29,1785,4.8,0.269632626,1780.2,1782.1,1787.15,1793.71,1602.2,1958.2,No Band,1780.2,"{'min': 1775.5, 'max': 1800, 'value': 1785}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1785}"
16-11-2021      9:18,9:18,1783.35,-3.8,-0.212629046,1787.15,1790,0,1782.79,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1792, 'value': 1783.35}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1783.35}"
16-11-2021,9:30,1789.55,2.4,0.134292029,1787.15,1790,0,1785.4,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1792, 'value': 1789.55}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1789.55}"
16-11-2021,9:35,1792.25,5.1,0.285370562,1787.15,1790,0,1786.76,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1794.85, 'value': 1792.25}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1792.25}"
16-11-2021,9:41,1787.2,0.05,0.002797751,1787.15,1790,0,1786.98,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1794.85, 'value': 1787.2}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1787.2}"
16-11-2021,9:47,1790.35,3.2,0.179056039,1787.15,1790,0,1788.19,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1794.85, 'value': 1790.35}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1790.35}"
16-11-2021,9:51,1791.9,4.75,0.265786308,1787.15,1790,0,1788.44,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1794.85, 'value': 1791.9}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1791.9}"
16-11-2021,9:56,1794.8,7.65,0.428055843,1787.15,1790,0,1789.1,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1796, 'value': 1794.8}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1794.8}"
16-11-2021,10:01,1794.15,7,0.391685085,1787.15,1790,0,1789.35,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1796, 'value': 1794.15}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1794.15}"
16-11-2021,10:06,1795.5,8.35,0.467224352,1787.15,1790,0,1789.89,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1797, 'value': 1795.5}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1795.5}"
16-11-2021,10:12,1797.55,10.4,0.581932127,1787.15,1790,0,1790.39,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1797.75, 'value': 1797.55}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1797.55}"
16-11-2021,10:20,1794.35,7.2,0.402876088,1787.15,1790,0,1790.79,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1798.3, 'value': 1794.35}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1794.35}"
16-11-2021,10:25,1795.7,8.55,0.478415354,1787.15,1790,0,1791.1,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1798.3, 'value': 1795.7}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1795.7}"
16-11-2021,10:30,1797.6,10.45,0.584729877,1787.15,1790,0,1791.36,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1798.3, 'value': 1797.6}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1797.6}"
16-11-2021,10:36,1799.3,12.15,0.679853398,1787.15,1790,0,1791.7,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1799.8, 'value': 1799.3}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1799.3}"
16-11-2021,10:41,1799.45,12.3,0.68824665,1787.15,1790,0,1792.67,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1800, 'value': 1799.45}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1799.45}"
16-11-2021,10:46,1804.65,17.5,0.979212713,1787.15,1790,0,1794.14,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1805, 'value': 1804.65}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1804.65}"
16-11-2021,10:51,1806.35,19.2,1.074336234,1787.15,1790,0,1795.86,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1808.8, 'value': 1806.35}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1806.35}"
16-11-2021,10:58,1807,19.85,1.110706992,1787.15,1790,0,1796.25,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1808.8, 'value': 1807}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1807}"
16-11-2021,11:04,1806,18.85,1.054751979,1787.15,1790,0,1797.05,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1808.8, 'value': 1806}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1806}"
16-11-2021,11:09,1807.15,20,1.119100243,1787.15,1790,0,1797.86,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1808.95, 'value': 1807.15}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1807.15}"
16-11-2021,11:14,1805.55,18.4,1.029572224,1787.15,1790,0,1798.12,1608.45,1965.85,No Band,1787.15,"{'min': 1777, 'max': 1808.95, 'value': 1805.55}","{'min': 1091, 'minDate': '27-Nov-2020', 'max': 1848, 'maxDate': '20-Oct-2021', 'value': 1805.55}"
